# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.01          	5.667397e-08	6.835593e+01	1.973508e-03	9.868109e-04	9.866975e-04
0.02          	3.512096e-06	4.109475e-02	-2.061188e-03	-1.027082e-03	-1.034106e-03
0.03          	1.282473e-06	3.757002e-01	6.487621e-05	3.372058e-05	3.115563e-05
0.04          	-1.839444e-07	3.483385e-01	2.102684e-05	1.032948e-05	1.069737e-05
0.05          	-1.263785e-06	3.302756e-01	1.653748e-05	7.004957e-06	9.532527e-06
0.06          	-1.691661e-06	3.154942e-01	1.613989e-05	6.378285e-06	9.761607e-06
0.07          	-1.701634e-06	3.032822e-01	2.443409e-05	1.051541e-05	1.391868e-05
0.08          	-1.545676e-06	2.927236e-01	2.417849e-05	1.054357e-05	1.363492e-05
0.09          	-1.339255e-06	2.833312e-01	2.615173e-05	1.173661e-05	1.441512e-05
0.1           	-1.091932e-06	2.747653e-01	2.343102e-05	1.062358e-05	1.280744e-05
0.11          	-9.340142e-07	2.669540e-01	2.067591e-05	9.403939e-06	1.127197e-05
0.12          	-8.201322e-07	2.598997e-01	1.927327e-05	8.816502e-06	1.045677e-05
0.13          	-7.280579e-07	2.534014e-01	1.869261e-05	8.618248e-06	1.007436e-05
0.14          	-6.711383e-07	2.473264e-01	1.080573e-05	4.731729e-06	6.074006e-06
0.15          	-6.511494e-07	2.414888e-01	1.176715e-05	5.232425e-06	6.534723e-06
0.16          	-6.251439e-07	2.366549e-01	1.316085e-05	5.955279e-06	7.205567e-06
0.17          	-6.225946e-07	2.322023e-01	8.092851e-06	3.423831e-06	4.669020e-06
0.18          	-6.197892e-07	2.281527e-01	1.314343e-05	5.951924e-06	7.191502e-06
0.19          	-6.161964e-07	2.245749e-01	9.323943e-06	4.045775e-06	5.278168e-06
0.2           	-6.029580e-07	2.213192e-01	1.284580e-05	5.819940e-06	7.025856e-06
0.21          	-5.804512e-07	2.183287e-01	9.394822e-06	4.116960e-06	5.277862e-06
0.22          	-5.537111e-07	2.157018e-01	1.122416e-05	5.058368e-06	6.165791e-06
0.23          	-5.241167e-07	2.133758e-01	1.076147e-05	4.856621e-06	5.904854e-06
0.24          	-4.976135e-07	2.114562e-01	9.561577e-06	4.283175e-06	5.278402e-06
0.25          	-4.703429e-07	2.097226e-01	1.324037e-05	6.149843e-06	7.090529e-06
0.26          	-4.529218e-07	2.082795e-01	1.048913e-05	4.791645e-06	5.697489e-06
0.27          	-4.408890e-07	2.072777e-01	1.516446e-05	7.141341e-06	8.023119e-06
0.28          	-4.307850e-07	2.064964e-01	1.240286e-05	5.770643e-06	6.632213e-06
0.29          	-4.226245e-07	2.060748e-01	1.315135e-05	6.153052e-06	6.998301e-06
0.3           	-4.178370e-07	2.061021e-01	1.283079e-05	5.997559e-06	6.833233e-06
0.31          	-4.109656e-07	2.064832e-01	1.242655e-05	5.802307e-06	6.624239e-06
0.32          	-4.037026e-07	2.069405e-01	1.260370e-05	5.898145e-06	6.705551e-06
0.33          	-3.907679e-07	2.077200e-01	1.158791e-05	5.403185e-06	6.184721e-06
0.34          	-3.746075e-07	2.088465e-01	1.204385e-05	5.647316e-06	6.396531e-06
0.35          	-3.655086e-07	2.101510e-01	9.747658e-06	4.508320e-06	5.239338e-06
0.36          	-3.540623e-07	2.114114e-01	1.170245e-05	5.497164e-06	6.205288e-06
0.37          	-3.357608e-07	2.128358e-01	9.744743e-06	4.536611e-06	5.208132e-06
0.38          	-3.264215e-07	2.140257e-01	1.022147e-05	4.784313e-06	5.437156e-06
0.39          	-3.215127e-07	2.161365e-01	1.050608e-05	4.931528e-06	5.574553e-06
0.4           	-3.157933e-07	2.180702e-01	9.249732e-06	4.309073e-06	4.940659e-06
0.41          	-3.097800e-07	2.199301e-01	1.043176e-05	4.906101e-06	5.525661e-06
0.42          	-3.050828e-07	2.219321e-01	9.882054e-06	4.635944e-06	5.246110e-06
0.43          	-3.072726e-07	2.243454e-01	9.403794e-06	4.394624e-06	5.009170e-06
0.44          	-3.020024e-07	2.271266e-01	9.785451e-06	4.590723e-06	5.194728e-06
0.45          	-2.949979e-07	2.293648e-01	9.776599e-06	4.593301e-06	5.183297e-06
0.46          	-2.851860e-07	2.320274e-01	9.940735e-06	4.685182e-06	5.255554e-06
0.47          	-2.762128e-07	2.339253e-01	1.032716e-05	4.887365e-06	5.439791e-06
0.48          	-2.706597e-07	2.363896e-01	9.702357e-06	4.580519e-06	5.121838e-06
0.49          	-2.633816e-07	2.390076e-01	9.629642e-06	4.551439e-06	5.078203e-06
0.5           	-2.556986e-07	2.414923e-01	9.836653e-06	4.662628e-06	5.174025e-06
0.51          	-2.467697e-07	2.443129e-01	9.054770e-06	4.280615e-06	4.774155e-06
0.52          	-2.398569e-07	2.473780e-01	9.942597e-06	4.731441e-06	5.211155e-06
0.53          	-2.342919e-07	2.504779e-01	9.816023e-06	4.673720e-06	5.142303e-06
0.54          	-2.295681e-07	2.536043e-01	9.381133e-06	4.460998e-06	4.920135e-06
0.55          	-2.221881e-07	2.565487e-01	8.076321e-06	3.815973e-06	4.260349e-06
0.56          	-2.177497e-07	2.590829e-01	9.286517e-06	4.425509e-06	4.861008e-06
0.57          	-2.124743e-07	2.623223e-01	8.180621e-06	3.877836e-06	4.302785e-06
0.58          	-2.071950e-07	2.657008e-01	9.300749e-06	4.443180e-06	4.857569e-06
0.59          	-2.029319e-07	2.688852e-01	7.708184e-06	3.651160e-06	4.057024e-06
0.6           	-1.997537e-07	2.723893e-01	9.531960e-06	4.566227e-06	4.965734e-06
0.61          	-1.997430e-07	2.756783e-01	6.882401e-06	3.241458e-06	3.640944e-06
0.62          	-1.940896e-07	2.784346e-01	9.357080e-06	4.484450e-06	4.872630e-06
0.63          	-1.929710e-07	2.812125e-01	7.359791e-06	3.486924e-06	3.872866e-06
0.64          	-1.881222e-07	2.846934e-01	7.507448e-06	3.565602e-06	3.941846e-06
0.65          	-1.827808e-07	2.884596e-01	7.477104e-06	3.555771e-06	3.921333e-06
0.66          	-1.809695e-07	2.923522e-01	8.370307e-06	4.004184e-06	4.366123e-06
0.67          	-1.767775e-07	2.963174e-01	7.255066e-06	3.450755e-06	3.804310e-06
0.68          	-1.738165e-07	3.003927e-01	8.801780e-06	4.227073e-06	4.574706e-06
