# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.001         	6.623210e-07	6.835601e+02	1.983708e-02	9.919204e-03	9.917879e-03
0.002         	-1.836782e-07	-1.844713e-01	-1.991899e-02	-9.959681e-03	-9.959314e-03
0.003         	4.907506e-07	3.263040e+00	2.714003e-04	1.361909e-04	1.352094e-04
0.004         	1.367481e-07	2.944621e+00	3.835328e-05	1.931339e-05	1.903989e-05
0.005         	-3.488968e-07	2.720545e+00	-2.991210e-05	-1.530495e-05	-1.460715e-05
0.006         	-4.716305e-07	2.536418e+00	-2.861771e-06	-1.902516e-06	-9.592552e-07
0.007         	-5.153744e-07	2.382399e+00	1.485032e-05	6.909784e-06	7.940533e-06
0.008         	-5.651165e-07	2.252142e+00	-6.173911e-06	-3.652072e-06	-2.521839e-06
0.009         	-5.841599e-07	2.140318e+00	6.159294e-06	2.495487e-06	3.663807e-06
0.01          	-5.830340e-07	2.043109e+00	-2.439129e-06	-1.802599e-06	-6.365308e-07
0.011         	-5.687702e-07	1.957609e+00	2.961027e-06	9.117435e-07	2.049284e-06
0.012         	-5.473076e-07	1.881604e+00	-3.824631e-07	-7.385391e-07	3.560760e-07
0.013         	-5.208125e-07	1.813422e+00	1.719614e-06	3.389942e-07	1.380619e-06
0.014         	-5.026736e-07	1.751753e+00	-2.116590e-07	-6.085031e-07	3.968441e-07
0.015         	-4.754273e-07	1.695633e+00	7.913458e-07	-7.975439e-08	8.711001e-07
0.016         	-4.472712e-07	1.644226e+00	-1.333491e-07	-5.139457e-07	3.805966e-07
0.017         	-4.213892e-07	1.596918e+00	2.420192e-07	-3.003796e-07	5.423988e-07
0.018         	-3.972861e-07	1.553216e+00	-2.473675e-07	-5.209698e-07	2.736023e-07
0.019         	-3.695677e-07	1.513207e+00	-1.007856e-06	-8.734957e-07	-1.343603e-07
0.02          	-3.497753e-07	1.475486e+00	1.367520e-06	3.339849e-07	1.033536e-06
0.021         	-3.243093e-07	1.439817e+00	6.579771e-07	4.679289e-09	6.532978e-07
0.022         	-3.094392e-07	1.406963e+00	-2.176694e-06	-1.397786e-06	-7.789077e-07
0.023         	-2.937055e-07	1.376140e+00	-3.954645e-07	-4.914377e-07	9.597322e-08
0.024         	-2.785427e-07	1.347201e+00	-1.432596e-06	-9.948408e-07	-4.377555e-07
0.025         	-2.649145e-07	1.319998e+00	-2.426549e-06	-1.478189e-06	-9.483600e-07
0.026         	-2.595874e-07	1.294117e+00	-7.816452e-07	-6.504100e-07	-1.312352e-07
0.027         	-2.460923e-07	1.269494e+00	2.742796e-06	1.125306e-06	1.617490e-06
0.028         	-2.327706e-07	1.246300e+00	-1.221358e-06	-8.434496e-07	-3.779084e-07
0.029         	-2.248999e-07	1.224382e+00	1.026930e-07	-1.735534e-07	2.762464e-07
0.03          	-2.176343e-07	1.203535e+00	-2.099000e-07	-3.225843e-07	1.126844e-07
0.031         	-2.111678e-07	1.183696e+00	2.676811e-07	-7.732724e-08	3.450084e-07
0.032         	-2.054371e-07	1.164794e+00	-1.823968e-07	-2.966355e-07	1.142388e-07
0.033         	-2.006068e-07	1.146765e+00	1.082751e-07	-1.464692e-07	2.547443e-07
0.034         	-1.910933e-07	1.129554e+00	-1.418015e-06	-9.001005e-07	-5.179140e-07
0.035         	-1.894170e-07	1.113116e+00	-1.123269e-06	-7.510514e-07	-3.722174e-07
0.036         	-1.866121e-07	1.097366e+00	3.465784e-06	1.546280e-06	1.919504e-06
0.037         	-1.836828e-07	1.082277e+00	1.043506e-06	3.380701e-07	7.054356e-07
0.038         	-1.793830e-07	1.067830e+00	3.619492e-06	1.630363e-06	1.989129e-06
0.039         	-1.779740e-07	1.053794e+00	-5.893639e-06	-3.124794e-06	-2.768846e-06
0.04          	-1.748375e-07	1.040028e+00	-1.643961e-06	-9.968178e-07	-6.471429e-07
0.041         	-1.733544e-07	1.027220e+00	1.223884e-06	4.385877e-07	7.852966e-07
0.042         	-1.715559e-07	1.014891e+00	-6.915736e-07	-5.173427e-07	-1.742309e-07
0.043         	-1.697066e-07	1.003026e+00	4.287027e-07	4.464471e-08	3.840580e-07
0.044         	-1.682409e-07	9.916088e-01	-1.318472e-06	-8.274769e-07	-4.909952e-07
0.045         	-1.666746e-07	9.806291e-01	-8.548672e-07	-5.941082e-07	-2.607590e-07
0.046         	-1.651159e-07	9.700000e-01	-5.877833e-07	-4.590075e-07	-1.287758e-07
0.047         	-1.641517e-07	9.597487e-01	-3.393261e-07	-3.338147e-07	-5.511388e-09
0.048         	-1.632617e-07	9.496875e-01	1.300149e-06	4.868128e-07	8.133363e-07
0.049         	-1.646502e-07	9.396788e-01	2.216111e-06	9.434052e-07	1.272706e-06
0.05          	-1.661683e-07	9.301741e-01	-4.042393e-07	-3.682880e-07	-3.595134e-08
0.051         	-1.616216e-07	9.211954e-01	-6.432191e-07	-4.832312e-07	-1.599879e-07
0.052         	-1.600205e-07	9.124723e-01	-5.510209e-07	-4.355310e-07	-1.154900e-07
0.053         	-1.597057e-07	9.040133e-01	-3.252898e-07	-3.223506e-07	-2.939202e-09
0.054         	-1.591961e-07	8.958073e-01	-2.546985e-07	-2.865454e-07	3.184682e-08
0.055         	-1.588237e-07	8.878429e-01	-2.356303e-07	-2.766389e-07	4.100857e-08
0.056         	-1.584901e-07	8.801097e-01	-2.116004e-07	-2.642903e-07	5.268996e-08
0.057         	-1.583044e-07	8.725980e-01	-3.624259e-07	-3.395174e-07	-2.290855e-08
0.058         	-1.582643e-07	8.652988e-01	1.301500e-07	-9.318929e-08	2.233393e-07
0.059         	-1.581544e-07	8.582037e-01	1.205821e-07	-9.786340e-08	2.184455e-07
0.06          	-1.580057e-07	8.513033e-01	-2.400555e-07	-2.780334e-07	3.797795e-08
0.061         	-1.579333e-07	8.445885e-01	-1.196074e-07	-2.177370e-07	9.812961e-08
0.062         	-1.579927e-07	8.380518e-01	-1.955719e-07	-2.557786e-07	6.020674e-08
0.063         	-1.580206e-07	8.316866e-01	-1.165172e-07	-2.162793e-07	9.976204e-08
0.064         	-1.580707e-07	8.254856e-01	-1.995271e-07	-2.578342e-07	5.830713e-08
0.065         	-1.581289e-07	8.194426e-01	-1.580810e-07	-2.371694e-07	7.908834e-08
0.066         	-1.582000e-07	8.135517e-01	-1.761216e-07	-2.462608e-07	7.013918e-08
0.067         	-1.582773e-07	8.078075e-01	-1.693180e-07	-2.429363e-07	7.361834e-08
0.068         	-1.583607e-07	8.022047e-01	-1.733070e-07	-2.450141e-07	7.170716e-08
0.069         	-1.584437e-07	7.967377e-01	-1.721811e-07	-2.445343e-07	7.235317e-08
0.07          	-1.585287e-07	7.914009e-01	-1.723886e-07	-2.447230e-07	7.233439e-08
0.071         	-1.586096e-07	7.861901e-01	-1.730817e-07	-2.451504e-07	7.206873e-08
0.072         	-1.586879e-07	7.811008e-01	-1.733159e-07	-2.453459e-07	7.202998e-08
0.073         	-1.587607e-07	7.761294e-01	-1.890094e-07	-2.532654e-07	6.425606e-08
0.074         	-1.588216e-07	7.712724e-01	-1.644503e-07	-2.410467e-07	7.659646e-08
0.075         	-1.588780e-07	7.665264e-01	-1.807079e-07	-2.492319e-07	6.852401e-08
0.076         	-1.589206e-07	7.618878e-01	-1.668655e-07	-2.423533e-07	7.548782e-08
0.077         	-1.589546e-07	7.573532e-01	-1.718018e-07	-2.448555e-07	7.305374e-08
0.078         	-1.589769e-07	7.529193e-01	-1.694345e-07	-2.436942e-07	7.425971e-08
0.079         	-1.589891e-07	7.485828e-01	-1.692116e-07	-2.435949e-07	7.438332e-08
0.08          	-1.593936e-07	7.443430e-01	-3.907792e-07	-3.547832e-07	-3.599600e-08
0.081         	-1.598604e-07	7.401921e-01	-3.745287e-07	-3.471248e-07	-2.740391e-08
0.082         	-1.602113e-07	7.361296e-01	-3.838887e-07	-3.521556e-07	-3.173306e-08
0.083         	-1.604582e-07	7.321525e-01	-3.738663e-07	-3.473913e-07	-2.647502e-08
0.084         	-1.606327e-07	7.282585e-01	-3.727625e-07	-3.470139e-07	-2.574857e-08
0.085         	-1.607413e-07	7.244452e-01	-3.678973e-07	-3.446900e-07	-2.320732e-08
0.086         	-1.607999e-07	7.207102e-01	-3.659667e-07	-3.437832e-07	-2.218349e-08
0.087         	-1.608180e-07	7.170515e-01	-3.657248e-07	-3.436804e-07	-2.204434e-08
0.088         	-1.607959e-07	7.134669e-01	-3.794720e-07	-3.505319e-07	-2.894007e-08
0.089         	-1.604310e-07	7.099570e-01	-3.537116e-07	-3.372868e-07	-1.642484e-08
0.09          	-1.601504e-07	7.065152e-01	-3.000100e-07	-3.101554e-07	1.014542e-08
0.091         	-1.602079e-07	7.031409e-01	-8.515068e-08	-2.027833e-07	1.176326e-07
0.092         	-1.600561e-07	6.998195e-01	1.668296e-08	-1.517147e-07	1.683976e-07
0.093         	-1.597415e-07	6.965670e-01	-2.134363e-07	-2.664597e-07	5.302338e-08
0.094         	-1.595144e-07	6.933816e-01	-2.243270e-07	-2.716779e-07	4.735087e-08
0.095         	-1.597839e-07	6.902557e-01	2.590645e-07	-3.025171e-08	2.893162e-07
0.096         	-1.592810e-07	6.871746e-01	-9.654099e-08	-2.075515e-07	1.110106e-07
0.097         	-1.589024e-07	6.841673e-01	-3.322177e-07	-3.250112e-07	-7.206440e-09
0.098         	-1.586752e-07	6.812209e-01	-2.660919e-07	-2.917211e-07	2.562922e-08
0.099         	-1.584475e-07	6.783291e-01	-2.344966e-07	-2.756958e-07	4.119917e-08
0.1           	-1.582398e-07	6.754906e-01	-1.883907e-07	-2.524352e-07	6.404443e-08
0.101         	-1.579665e-07	6.727042e-01	-1.884801e-07	-2.522065e-07	6.372645e-08
0.102         	-1.577109e-07	6.699687e-01	-1.675410e-07	-2.414814e-07	7.394037e-08
0.103         	-1.574493e-07	6.672829e-01	-1.574764e-07	-2.361875e-07	7.871112e-08
0.104         	-1.571798e-07	6.646456e-01	-1.451511e-07	-2.297553e-07	8.460419e-08
0.105         	-1.569038e-07	6.620556e-01	-1.361263e-07	-2.249670e-07	8.884066e-08
0.106         	-1.566188e-07	6.595118e-01	-1.272652e-07	-2.202514e-07	9.298617e-08
0.107         	-1.563273e-07	6.570131e-01	-1.188982e-07	-2.157764e-07	9.687827e-08
0.108         	-1.560304e-07	6.545584e-01	-1.122051e-07	-2.121329e-07	9.992784e-08
0.109         	-1.557271e-07	6.521465e-01	-1.043172e-07	-2.078857e-07	1.035685e-07
0.11          	-1.554177e-07	6.497766e-01	-9.815065e-08	-2.044930e-07	1.063424e-07
